,headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
152,160,577,199,135,100010.388246,0.1
153,147,560,194,132,100021.869796,0.1
154,161,606,212,132,100004.413644,0.1
155,153,557,190,131,99998.998448,0.1
156,164,602,208,145,99998.635553,0.1
157,158,570,198,133,99998.809458,0.1
158,152,570,200,136,100000.174094,0.1
159,153,578,200,133,99988.779813,0.1
160,160,589,209,138,99994.829055,0.1
161,154,565,193,135,99990.029732,0.1
162,155,588,207,134,100002.487992,0.1
163,164,585,200,137,99997.033588,0.1
164,157,581,200,133,100004.952113,0.1
165,156,580,201,141,99998.252968,0.1
166,157,570,196,126,100009.863352,0.1
167,157,558,191,128,100002.135339,0.1
168,155,575,205,139,100021.906997,0.1
169,154,582,205,135,99981.036391,0.1
170,158,608,215,130,99993.530833,0.1
171,150,575,198,128,100009.014869,0.1
172,150,585,206,126,100025.283257,0.1
173,149,565,200,131,99997.513652,0.1
174,155,593,207,130,100000.436690,0.1
175,151,573,201,132,99997.736858,0.1
176,150,588,203,139,100013.314571,0.1
177,150,580,209,127,99997.126921,0.1
178,139,570,203,133,100006.800698,0.1
179,148,560,195,128,99996.801984,0.1
180,153,572,201,134,99987.274412,0.1
181,153,577,201,133,100003.135477,0.1
182,151,556,198,131,100005.031848,0.1
183,153,577,206,138,100012.932259,0.1
184,151,580,205,125,99998.895530,0.1
185,145,575,200,123,99993.826379,0.1
186,152,577,205,135,100005.627611,0.1
187,150,565,199,127,100002.407371,0.1
188,156,588,206,133,100002.806651,0.1
189,150,567,194,118,99999.268873,0.1
190,152,571,201,132,100011.603386,0.1
191,145,550,193,125,100003.694927,0.1
192,156,577,201,132,100019.046587,0.1
193,163,595,200,143,100011.110567,0.1
194,157,555,191,134,100006.590498,0.1
195,151,595,213,139,99983.725617,0.1
196,161,570,192,137,100006.023193,0.1
197,144,565,198,130,100004.202822,0.1
198,165,592,205,139,100008.109517,0.1
199,156,575,201,124,100010.444421,0.1
200,150,585,206,127,99995.991218,0.1
201,142,553,197,127,100008.240056,0.1
202,153,565,198,129,99994.376946,0.1
203,152,577,203,135,100019.548781,0.1
204,163,562,185,137,99986.680483,0.1
205,160,583,200,133,99982.393114,0.1
206,150,578,204,128,99983.492787,0.1
207,148,560,196,133,99991.094444,0.1
208,156,582,203,127,99988.808846,0.1
209,155,590,205,127,100019.560789,0.1
210,156,566,193,135,99996.735005,0.1
211,154,557,188,130,99986.573242,0.1
212,151,553,190,140,100011.143830,0.1
213,144,562,206,125,99994.134761,0.1
214,177,613,202,140,99987.631466,0.1
215,136,518,182,124,100008.758389,0.1
216,163,621,218,148,100006.233622,0.1
217,145,546,193,124,99995.650433,0.1
218,160,603,210,136,100014.075400,0.1
219,148,535,183,136,100001.291016,0.1
220,148,556,192,127,100016.169496,0.1
221,161,583,195,136,100005.027409,0.1
222,144,566,203,126,100015.588055,0.1
223,144,564,203,137,100001.094027,0.1
224,160,591,210,129,99987.802556,0.1
225,154,583,199,128,100024.493686,0.1
226,155,583,203,143,99994.542258,0.1
227,145,543,187,125,99998.011621,0.1
228,158,577,200,135,99992.996015,0.1
229,149,565,197,137,99997.966056,0.1
230,157,566,192,130,100002.426694,0.1
231,156,576,200,130,100002.018302,0.1
232,151,564,199,135,100006.610203,0.1
233,158,590,206,137,100017.921582,0.1
234,154,588,206,140,99998.795354,0.1
235,138,530,185,118,99987.668793,0.1
236,159,584,202,143,99988.176819,0.1
237,156,566,195,137,99993.342455,0.1
238,153,578,203,145,99983.258042,0.1
239,155,555,193,140,100008.250298,0.1
240,151,550,195,124,99995.017864,0.1
241,157,607,217,133,99996.890150,0.1
242,160,571,193,136,99999.981085,0.1
243,160,590,200,140,99986.033796,0.1
244,151,552,187,125,99991.386836,0.1
245,157,603,213,133,100006.747115,0.1
246,153,574,200,124,100006.185391,0.1
247,153,560,194,128,99995.568281,0.1
248,162,600,207,140,100018.105349,0.1
249,162,543,176,131,99986.942731,0.1
250,160,602,206,140,99996.550128,0.1
251,160,562,184,136,99997.691603,0.1
252,155,583,202,130,99972.069150,0.1
253,153,568,196,130,100019.375288,0.1
254,151,516,172,125,100003.663320,0.1
255,149,530,176,126,99989.554106,0.1
256,158,577,193,132,100020.511734,0.1
257,150,567,192,137,100005.856620,0.1
258,177,597,201,131,100004.295261,0.1
259,157,582,198,140,99993.930016,0.1
260,154,588,210,136,100001.062227,0.1
261,161,618,220,142,99984.743197,0.1
262,160,575,200,138,100007.950261,0.1
263,152,564,202,133,99996.255617,0.1
264,158,592,202,137,100001.340482,0.1
265,152,594,210,138,100012.020549,0.1
266,144,570,198,131,100002.847481,0.1
267,147,555,196,128,100002.624674,0.1
268,163,584,195,141,100002.764993,0.1
269,163,593,206,142,99992.667284,0.1
270,158,577,201,136,100008.360047,0.1
271,153,583,201,127,100015.433591,0.1
272,150,563,194,140,100007.588057,0.1
273,147,544,190,125,100008.849088,0.1
274,150,578,205,136,99991.227185,0.1
275,149,560,195,140,99991.322128,0.1
276,150,577,202,133,99985.591240,0.1
277,152,543,188,127,100012.322531,0.1
278,161,563,192,134,99997.458201,0.1
279,142,576,215,140,100013.998439,0.1
280,159,555,183,132,99992.180883,0.1
281,156,594,210,126,99995.624910,0.1
282,153,584,204,130,100000.954251,0.1
283,150,573,200,127,100009.214501,0.1
284,166,604,210,140,100000.607502,0.1
285,154,570,198,129,100002.111248,0.1
286,154,566,196,136,100000.165276,0.1
287,153,573,201,126,100001.771877,0.1
288,157,566,197,134,99988.835300,0.1
289,155,575,200,137,100000.809271,0.1
290,164,596,206,140,99998.134210,0.1
291,159,584,204,127,99999.431755,0.1
292,147,575,200,130,100004.923366,0.1
293,150,564,196,139,99993.193219,0.1
294,155,583,203,128,99999.154920,0.1
295,151,600,211,120,99997.026381,0.1
296,167,595,205,141,100004.173020,0.1
297,152,550,192,130,100007.847707,0.1
298,153,558,190,126,99990.445747,0.1
299,156,575,197,130,100005.859104,0.1
300,152,562,192,134,100020.657833,0.1
301,156,590,212,140,99985.288431,0.1
302,163,581,198,139,99991.698281,0.1
303,153,572,196,137,99991.194224,0.1
304,158,573,195,139,99997.209023,0.1
305,157,602,212,135,100016.228491,0.1
306,156,580,206,138,100000.133527,0.1
307,157,608,212,137,99993.053064,0.1
308,150,545,185,129,100006.218035,0.1
309,148,572,202,128,99994.001955,0.1
310,156,568,199,125,100011.234122,0.1
311,171,590,193,150,100003.052670,0.1
312,148,563,194,126,100013.887794,0.1
313,150,553,194,134,99993.386558,0.1
314,158,552,182,130,100030.308571,0.1
315,160,590,204,137,100008.245846,0.1
316,153,575,204,130,100006.545802,0.1
317,160,560,188,138,99999.488116,0.1
318,154,567,196,134,99992.744029,0.1
319,150,583,206,135,99991.322313,0.1
320,154,550,190,121,99998.640227,0.1
321,148,580,204,130,99992.027302,0.1
322,154,555,194,135,100002.826757,0.1
323,150,573,202,136,99991.739026,0.1
324,150,572,196,141,100006.210827,0.1
325,150,562,197,125,100009.561217,0.1
326,156,580,202,126,99992.941595,0.1
327,161,615,217,147,100011.926861,0.1
328,151,570,198,130,99997.620581,0.1
329,158,602,209,139,100011.552879,0.1
330,153,586,206,135,100004.381663,0.1
331,160,605,212,132,100011.223283,0.1
332,153,555,190,128,99990.029802,0.1
333,150,563,197,126,99998.932060,0.1
334,159,583,201,140,100014.514293,0.1
335,151,558,197,128,99993.819632,0.1
336,141,556,199,132,99979.627988,0.1
337,157,577,200,140,99980.574108,0.1
338,155,571,200,135,99974.935593,0.1
339,148,536,182,126,99978.858361,0.1
340,155,566,200,133,99995.883608,0.1
341,161,580,198,140,100012.785281,0.1
342,152,555,193,128,99995.577707,0.1
343,146,550,193,129,100003.235274,0.1
344,163,588,207,130,99998.900085,0.1
345,150,547,194,122,100000.085489,0.1
346,161,598,206,142,99998.318012,0.1
347,162,587,204,134,99998.258197,0.1
348,154,548,187,128,100004.611641,0.1
349,149,550,199,122,99988.240173,0.1
350,147,553,198,135,100010.101272,0.1
351,153,568,200,128,100009.200179,0.1
352,156,599,210,132,99998.049427,0.1
353,157,587,205,136,100008.053934,0.1
354,164,595,205,139,99992.986556,0.1
355,146,566,195,130,99994.627770,0.1
356,156,578,198,142,100001.562639,0.1
357,153,578,197,131,99998.097790,0.1
358,145,560,194,141,99995.512620,0.1
359,150,563,196,133,99993.275520,0.1
360,154,563,198,134,99994.425053,0.1
361,148,567,197,136,100009.391687,0.1
362,150,547,189,134,99980.566766,0.1
363,160,563,192,132,100003.524944,0.1
364,165,578,201,143,99997.635630,0.1
365,160,573,194,127,100007.278135,0.1
366,147,584,204,143,100005.150736,0.1
367,155,588,205,129,99972.174655,0.1
368,150,560,196,125,100005.846466,0.1
369,165,589,199,146,100003.242742,0.1
370,154,602,206,145,100000.218628,0.1
371,166,590,206,143,99995.313262,0.1
372,158,570,199,133,100008.532812,0.1
373,160,603,213,134,99995.869707,0.1
374,150,568,193,133,100018.347176,0.1
375,145,550,186,124,100005.643829,0.1
376,159,595,210,140,100021.378281,0.1
377,156,586,204,140,99992.144660,0.1
378,155,575,201,130,99982.440744,0.1
379,150,580,205,145,100007.147896,0.1
380,162,578,197,144,100008.527041,0.1
381,155,600,211,137,100000.353601,0.1
382,160,599,207,129,99984.612068,0.1
383,156,588,204,136,99995.521048,0.1
384,156,590,201,131,100006.179855,0.1
385,157,572,195,142,99998.158237,0.1
386,153,579,201,132,99998.840148,0.1
387,162,570,189,140,99998.245410,0.1
388,161,608,215,130,99990.660853,0.1
389,158,577,193,135,99994.669797,0.1
390,154,554,189,132,99985.734446,0.1
391,151,578,199,136,100017.679599,0.1
392,152,573,196,136,99995.246271,0.1
393,154,582,203,126,100004.776102,0.1
394,157,585,198,131,99989.781141,0.1
395,156,570,196,133,100007.945282,0.1
396,153,575,203,133,99981.268390,0.1
397,152,590,204,133,100009.206151,0.1
398,155,568,190,135,99999.646321,0.1
399,149,570,198,143,100021.106051,0.1
400,155,570,203,130,99986.934659,0.1
401,150,553,194,144,100000.763805,0.1
402,149,553,181,124,100003.672318,0.1
403,147,565,200,135,100012.328992,0.1
404,154,592,211,145,99995.771430,0.1
405,152,561,196,127,100000.864644,0.1
406,147,570,201,133,99978.575333,0.1
407,157,580,196,145,99991.698311,0.1
408,155,579,203,127,100004.516160,0.1
409,155,580,201,133,100011.041743,0.1
410,163,592,197,130,99997.182637,0.1
411,147,588,207,132,100020.563555,0.1
412,162,574,195,130,100017.602492,0.1
413,161,596,209,134,99999.393475,0.1
414,159,594,209,146,99975.864970,0.1
415,153,558,186,131,99982.224336,0.1
416,148,578,203,135,99992.221412,0.1
417,150,576,199,134,100011.158411,0.1
418,157,588,210,134,100003.102723,0.1
419,153,556,196,136,99979.057522,0.1
420,150,555,198,131,99997.712342,0.1
421,157,573,200,132,100016.133614,0.1
422,161,577,200,133,99996.251953,0.1
423,158,561,187,126,99992.500304,0.1
424,154,593,206,133,100020.546241,0.1
425,154,570,193,142,100000.534095,0.1
426,150,558,192,129,99995.208429,0.1
427,157,576,201,135,100003.501672,0.1
428,150,563,196,134,100000.171647,0.1
429,158,545,182,124,99995.708577,0.1
430,159,590,200,139,100012.084563,0.1
431,153,566,198,137,100011.157018,0.1
432,149,558,193,128,100008.408616,0.1
433,154,565,195,141,99998.971128,0.1
434,152,558,195,131,100011.469004,0.1
435,152,574,197,134,99999.502974,0.1
436,144,545,193,134,100004.666433,0.1
437,161,590,201,138,100010.336869,0.1
438,144,556,197,131,100008.088444,0.1
439,155,576,199,136,100017.897547,0.1
440,149,564,194,128,100004.512840,0.1
441,161,622,215,134,99983.159400,0.1
442,148,567,202,137,99988.398299,0.1
443,151,553,193,123,100013.501068,0.1
444,160,567,192,124,99996.687168,0.1
445,152,584,207,139,100003.865391,0.1
446,152,574,201,129,99991.485443,0.1
447,141,564,206,131,100010.008814,0.1
448,163,585,203,124,99996.151678,0.1
449,150,560,199,127,100014.581082,0.1
450,163,575,198,135,99994.677660,0.1
451,145,577,205,132,100011.181334,0.1
452,148,577,203,133,100006.743961,0.1
453,155,594,213,135,99992.776081,0.1
454,150,546,188,117,100010.989963,0.1
455,158,598,209,127,99990.983655,0.1
456,147,540,196,128,99991.775328,0.1
457,149,584,205,140,100007.217113,0.1
458,154,568,192,131,99993.746580,0.1
459,161,592,200,128,99994.061569,0.1
460,162,589,199,140,99996.560993,0.1
461,145,545,194,136,99989.998308,0.1
462,141,548,196,130,100010.449944,0.1
463,163,581,199,139,100006.085147,0.1
464,162,591,206,136,99999.306713,0.1
465,150,570,192,137,99998.916079,0.1
466,163,574,186,129,100004.501555,0.1
467,159,583,198,132,100017.653351,0.1
468,147,565,200,133,100008.709698,0.1
469,157,578,198,141,99994.915429,0.1
470,157,596,207,132,100007.774192,0.1
471,157,573,195,131,99998.812288,0.1
472,160,585,210,138,99998.010018,0.1
473,165,601,214,137,100018.664714,0.1
474,151,575,199,130,99995.810621,0.1
475,155,575,200,141,99995.208151,0.1
476,147,556,203,126,99980.478947,0.1
477,140,556,197,125,99985.976709,0.1
478,147,583,206,139,100004.511229,0.1
479,149,577,201,138,99993.050791,0.1
480,156,595,213,134,100005.154138,0.1
481,150,553,191,134,99988.851289,0.1
482,152,568,198,133,99992.326902,0.1
483,151,603,215,131,100006.745707,0.1
484,160,582,196,135,100014.608924,0.1
485,144,544,194,127,100005.924728,0.1
486,156,589,206,132,100011.978308,0.1
487,156,568,198,135,100017.045942,0.1
488,160,597,210,144,100010.400892,0.1
489,154,578,203,129,99990.815600,0.1
490,151,581,200,125,99998.946553,0.1
491,155,575,198,144,100006.301957,0.1
492,168,577,199,135,99995.851531,0.1
493,157,568,193,127,100004.519460,0.1
494,156,562,200,128,99984.208437,0.1
495,153,558,198,129,99991.713720,0.1
496,151,543,184,121,100005.288797,0.1
497,154,579,203,128,99977.629135,0.1
498,153,555,193,128,99988.922875,0.1
499,161,573,195,140,99999.822817,0.1
500,170,628,217,139,99982.806055,0.1
501,161,562,190,126,100000.571210,0.1
502,148,557,193,128,99992.004525,0.1
503,155,600,211,136,99997.084054,0.1
504,156,547,194,128,99997.410171,0.1
505,155,587,206,136,100001.892932,0.1
506,159,587,209,135,99994.362113,0.1
507,145,556,197,125,100000.896864,0.1
508,153,587,205,130,99993.988432,0.1
509,166,563,196,142,100005.560735,0.1
510,147,547,192,140,100016.938091,0.1
511,154,578,204,135,100001.968698,0.1
512,153,566,204,120,100001.698693,0.1
513,161,582,200,130,99988.359920,0.1
514,150,559,194,134,100006.933662,0.1
515,166,566,188,133,99992.419327,0.1
516,151,551,197,126,99991.911528,0.1
517,157,597,208,140,100005.574395,0.1
518,157,580,210,134,100001.810387,0.1
519,155,585,209,130,100011.071755,0.1
520,151,557,194,130,100014.428769,0.1
521,156,588,206,125,99994.603184,0.1
522,154,578,200,125,100001.283770,0.1
523,161,573,202,134,100017.604152,0.1
524,155,587,203,142,100009.665393,0.1
525,153,588,209,126,100007.130491,0.1
526,158,595,206,139,100013.062061,0.1
527,150,574,200,131,99993.953970,0.1
528,157,572,201,130,100006.365834,0.1
529,164,585,195,132,100014.092534,0.1
530,150,555,187,122,100016.209123,0.1
531,154,580,206,134,99991.938152,0.1
532,151,575,200,127,99997.483258,0.1
533,149,559,196,133,100003.827152,0.1
534,153,580,203,138,99997.110027,0.1
535,152,576,201,135,99996.081838,0.1
536,164,603,207,139,100006.840013,0.1
537,150,574,198,137,99996.465900,0.1
538,158,594,208,140,99982.120871,0.1
539,160,589,206,132,100003.618473,0.1
540,149,567,203,117,99995.755072,0.1
541,164,611,211,140,99992.684690,0.1
542,160,585,208,131,99984.342618,0.1
543,153,573,202,134,100010.138225,0.1
544,151,582,206,139,99977.728874,0.1
545,156,586,204,141,99983.006664,0.1
546,161,588,205,135,99997.241539,0.1
547,145,569,205,122,100012.289556,0.1
548,155,574,200,134,100013.097059,0.1
549,153,566,202,132,99988.450174,0.1
550,166,573,194,129,99998.223678,0.1
551,154,584,206,127,99984.895436,0.1
552,160,570,193,128,100010.112071,0.1
553,151,546,192,129,99985.234373,0.1
554,162,576,201,143,99998.568043,0.1
555,150,565,198,128,100010.329838,0.1
556,168,604,211,140,99997.775860,0.1
557,162,575,195,132,100014.701603,0.1
558,149,554,189,133,99991.299918,0.1
559,156,572,193,133,100003.691905,0.1
560,156,579,198,135,100008.532822,0.1
561,155,583,202,132,99998.602883,0.1
562,151,544,188,130,100013.863143,0.1
563,161,554,185,130,100005.481296,0.1
564,146,564,190,131,99983.625504,0.1
565,154,578,204,127,100039.586027,0.1
566,159,570,195,125,100006.486436,0.1
567,161,582,195,136,100001.073433,0.1
568,155,584,204,128,99986.011872,0.1
569,150,583,203,132,100000.817678,0.1
570,153,569,199,129,99995.400572,0.1
571,149,575,203,138,100006.443537,0.1
572,157,574,202,124,100003.716703,0.1
573,156,575,196,123,100018.530095,0.1
574,165,611,208,138,100001.422514,0.1
575,150,559,196,122,100005.135055,0.1
576,154,562,199,126,100003.724569,0.1
577,161,599,212,131,99998.515102,0.1
578,162,598,206,134,99998.165998,0.1
579,154,562,190,130,100011.010002,0.1
580,149,546,190,126,100007.800271,0.1
581,154,563,202,137,99993.705584,0.1
582,154,575,202,130,99988.865639,0.1
583,159,577,199,140,99999.325900,0.1
584,157,584,206,136,100011.614400,0.1
585,150,563,203,126,99999.724706,0.1
586,154,563,193,141,100017.464351,0.1
587,146,560,200,127,99992.249297,0.1
588,154,579,200,135,100001.416405,0.1
589,160,587,208,129,99974.836961,0.1
590,154,590,208,142,99994.043321,0.1
591,152,584,208,140,99996.908787,0.1
592,152,580,208,129,100005.109378,0.1
593,156,582,190,125,100017.106618,0.1
594,150,567,200,131,100000.349436,0.1
595,156,577,199,132,100014.539176,0.1
596,158,599,213,141,100006.616811,0.1
597,154,560,197,126,100009.863522,0.1
598,162,565,193,130,99995.338451,0.1
599,157,584,204,149,100013.849913,0.1
600,153,582,206,127,99989.270357,0.1
601,154,583,210,133,100004.951586,0.1
602,160,604,212,136,99990.479379,0.1
603,156,553,183,127,99994.818544,0.1
604,147,551,195,123,99985.385964,0.1
605,155,565,194,131,99994.836521,0.1
606,153,580,201,133,100003.511169,0.1
607,153,596,208,130,99999.312295,0.1
608,153,534,178,123,99986.522351,0.1
609,144,557,197,131,100014.707399,0.1
610,152,587,208,130,100003.372209,0.1
611,156,573,196,132,100010.080654,0.1
612,153,564,197,136,100007.852269,0.1
613,148,586,213,124,99993.351322,0.1
614,151,569,204,121,99980.549530,0.1
615,152,564,197,128,99990.845756,0.1
616,154,559,190,130,100012.251558,0.1
617,152,554,189,128,99989.464539,0.1
618,146,574,199,137,100008.160437,0.1
619,160,571,190,139,99993.875930,0.1
620,159,587,208,121,100003.931092,0.1
621,152,566,201,126,99981.760801,0.1
622,151,554,192,137,100011.670752,0.1
623,157,578,200,138,99999.603313,0.1
624,164,584,201,131,100008.858258,0.1
625,149,568,203,135,100001.898616,0.1
626,158,588,199,136,100007.980638,0.1
627,156,561,200,122,99998.980680,0.1
628,156,575,200,128,100007.433565,0.1
629,161,592,203,129,99984.904273,0.1
630,153,602,213,134,99989.192893,0.1
631,155,574,197,124,100007.254740,0.1
632,162,603,213,128,99999.608217,0.1
633,149,555,199,137,99997.712458,0.1
634,156,584,205,128,99998.203877,0.1
635,149,557,200,133,100005.017251,0.1
636,158,593,210,135,99994.066562,0.1
637,160,593,212,136,100005.103076,0.1
638,156,590,210,132,99990.842082,0.1
639,155,564,193,129,99995.927480,0.1
640,146,562,200,137,100009.849517,0.1
641,151,562,203,122,100010.712524,0.1
642,151,577,200,124,99989.028456,0.1
643,168,597,207,139,100008.386347,0.1
644,154,583,206,144,99989.608177,0.1
645,152,585,209,136,100007.330232,0.1
646,148,566,200,132,99981.011879,0.1
647,172,604,204,145,99988.828893,0.1
648,156,603,208,140,99994.910277,0.1
649,167,584,199,132,99998.335140,0.1
650,155,582,204,120,100014.236144,0.1
651,144,573,202,125,100009.039992,0.1
652,156,602,209,130,100015.754679,0.1
653,156,573,197,127,100012.066079,0.1
654,162,578,199,139,99997.171364,0.1
655,151,566,198,125,99997.336731,0.1
656,156,582,203,133,100010.689716,0.1
657,167,610,214,140,100000.403714,0.1
658,147,557,195,126,99998.430063,0.1
659,166,590,196,127,99986.647973,0.1
660,156,577,205,136,99998.935399,0.1
661,149,552,195,127,99972.090036,0.1
662,155,567,200,140,99995.438824,0.1
663,162,595,202,138,99990.201097,0.1
664,161,586,204,125,100006.925743,0.1
665,146,557,194,133,99995.213276,0.1
666,157,548,195,130,99996.709485,0.1
667,162,575,203,138,100013.471055,0.1
668,154,582,204,135,99989.509323,0.1
669,153,572,201,120,100003.166589,0.1
670,157,564,202,125,99981.047331,0.1
671,147,563,194,130,100000.897291,0.1
672,154,560,194,130,100004.102657,0.1
673,154,562,197,129,100008.598710,0.1
674,157,575,198,131,99991.013168,0.1
675,155,575,202,128,100003.196569,0.1
676,156,572,199,133,100003.181542,0.1
677,145,554,194,118,99999.807684,0.1
678,146,551,190,121,100001.500163,0.1
679,150,540,189,129,100004.635343,0.1
680,155,581,201,128,100003.978804,0.1
681,146,581,211,134,99990.039891,0.1
682,168,590,202,133,99988.041385,0.1
683,152,573,200,130,100025.059803,0.1
684,145,562,202,126,100019.197923,0.1
685,150,531,182,117,99986.083061,0.1
686,135,543,191,126,100004.502177,0.1
687,145,577,208,130,100006.274371,0.1
688,158,592,205,129,100007.513372,0.1
689,161,584,201,130,100001.403954,0.1
690,162,575,197,131,99990.731281,0.1
691,150,567,198,120,99998.175796,0.1
692,157,570,193,137,99995.088749,0.1
693,153,576,205,121,100001.343731,0.1
694,153,581,207,132,99997.316287,0.1
695,157,578,199,123,99998.683244,0.1
